State/UTs,Geographical Area,Recorded Forest Area as in SFR 2005,Recorded Forest Area - Reserved Forests,Recorded Forest Area - Protected Forests,Recorded Forest Area - Unclassed Forests,Recorded Forest Area - Total,Percentage of Geographical Area
Andhra Pradesh,275069,63821,61210,1967,637,63814,23
Arunachal Pradesh,83743,51540,10546,9528,31466,51540,62
Assam,78438,26832,17864,NA,8968,26832,34
Bihar,94163,6473,693,5779,1,6473,7
Chhattisgarh,135191,59772,25782,24036,9954,59772,44
Delhi,1483,85,78,7,NA,85,6
Goa,3702,1224,253,845,126,1224,33
Gujarat,196022,18962,14122,479,4326,18927,10
Haryana,44212,1559,249,1158,152,1559,4
Himachal Pradesh,55673,37033,1898,33060,2075,37033,67
Jammu & Kashmir,222236,20230,17643,2551,36,20230,9
Jharkhand,79714,23605,4387,19185,33,23605,30
Karnataka,191791,38284,28690,3931,5663,38284,20
Kerala,38863,11265,11123,142,NA,11265,29
Madhya Pradesh,308245,94689,61886,31098,1705,94689,31
Maharashtra,307713,61939,49226,8195,4518,61939,20
Manipur,22327,17418,1467,4171,11780,17418,78
Meghalaya,22429,9496,1113,12,8371,9496,42
Mizoram,21081,16717,7909,3568,5240,16717,79
Nagaland,16579,9222,86,508,8628,9222,56
Orissa,155707,58136,26329,15525,16282,58136,37
Punjab,50362,3084,44,1153,1861,3058,6
Rajasthan,342239,32488,12454,17416,2769,32639,10
Sikkim,7096,5841,5452,389,NA,5841,82
Tamil Nadu,130058,22877,19388,2183,1306,22877,18
Tripura,10486,6294,4175,2,2117,6294,60
Uttar Pradesh,240928,16796,11660,1420,3503,16583,7
Uttarakhand,53483,34651,24638,9882,131,34651,65
West Bengal,88752,11879,7054,3772,1053,11879,13
Andaman & Nicobar,8249,7171,2929,4242,NA,7171,87
Chandigarh,114,33,31,NA,3,34,30
Dadra & Nagar Haveli,491,204,199,5,NA,204,42
Daman & Diu,112,6,0,8,0,8,7
Lakshadweep,32,0,0,0,0,0,0
Puducherry,480,0,4,2,7,13,3
Total,3287263,769626,430582,206219,132711,769512,23
